Number,Signal,IOStandard
AK42,MGT0_TXP<8>,DIFF_HSTL_I_18 (Default)
AJ40,MGT0_TXP<9>,DIFF_HSTL_I_18 (Default)
AC46,MGT1_RXN<0>,DIFF_HSTL_I_18 (Default)
AB44,MGT1_RXN<1>,DIFF_HSTL_I_18 (Default)
G46,MGT1_RXN<10>,DIFF_HSTL_I_18 (Default)
E46,MGT1_RXN<11>,DIFF_HSTL_I_18 (Default)
AA46,MGT1_RXN<2>,DIFF_HSTL_I_18 (Default)
Y44,MGT1_RXN<3>,DIFF_HSTL_I_18 (Default)
W46,MGT1_RXN<4>,DIFF_HSTL_I_18 (Default)
U46,MGT1_RXN<5>,DIFF_HSTL_I_18 (Default)
R46,MGT1_RXN<6>,DIFF_HSTL_I_18 (Default)
N46,MGT1_RXN<7>,DIFF_HSTL_I_18 (Default)
L46,MGT1_RXN<8>,DIFF_HSTL_I_18 (Default)
J46,MGT1_RXN<9>,DIFF_HSTL_I_18 (Default)
